Protein;Count
NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic;7052
Hydrogenase-4 component G;409
Ubiquinone biosynthesis O-methyltransferase, mitochondrial;20622
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase;9644
Copper-exporting P-type ATPase;7095
Putative dioxygenase;7060
Putative fatty-acid--CoA ligase FadD10;7019
D-alanine--D-alanyl carrier protein ligase;7187
Cation-transporting P-type ATPase B;7097
putative cation-transporting ATPase I;13952
Rhomboid protease GlpG;7047
GDP-6-deoxy-D-mannose reductase;7036
Phosphoheptose isomerase;7055
D-glycero-alpha-D-manno-heptose 7-phosphate kinase;7052
L,D-transpeptidase 1;7057
putative hydrogen peroxide-inducible genes activator;7042
Oxalyl-CoA decarboxylase;7057
putative sulfoacetate--CoA ligase;7050
Elongation factor G-like protein;7118
Trehalose synthase/amylase TreS;7065
Maltokinase;7056
Diacylglycerol acyltransferase/mycolyltransferase Ag85C;7043
putative enoyl-CoA hydratase 1;7062
(R)-benzylsuccinyl-CoA dehydrogenase;7061
F420-dependent hydroxymycolic acid dehydrogenase;7049
Soluble epoxide hydrolase;4639
Putative cytochrome P450 138;7057
Peptide methionine sulfoxide reductase MsrA;7022
Aurachin B dehydrogenase;7045
Voltage-gated ClC-type chloride channel ClcB;6993
Putative S-adenosyl-L-methionine-dependent methyltransferase;100135
4,4'-diaponeurosporen-aldehyde dehydrogenase;7059
Putative short-chain type dehydrogenase/reductase;21140
2-haloacrylate reductase;14064
putative PE-PGRS family protein PE_PGRS24;21191
Crotonobetainyl-CoA reductase;35262
NAD(P) transhydrogenase subunit alpha part 1;7056
NAD(P) transhydrogenase subunit beta;7058
HTH-type transcriptional repressor KstR2;14119
PE family protein PE3;14144
Alcohol dehydrogenase B;13966
Long-chain-fatty-acid--CoA ligase FadD13;27649
Lipoprotein LprN;27982
Putative quercetin 2,3-dioxygenase;7065
ECF RNA polymerase sigma factor SigG;7070
Monoacylglycerol lipase;7064
Thermostable beta-glucosidase B;7065
Metallothionein;6936
Catechol O-methyltransferase;7190
Dihydroxy-acid dehydratase;7039
Copper-sensing transcriptional repressor RicR;7060
Chloramphenicol efflux pump;7057
L,D-transpeptidase 4;7054
Multidrug efflux ATP-binding/permease protein;7139
Periplasmic nitrate reductase;6703
Neutral endopeptidase;6816
Heme uptake protein MmpL11;7077
Heme-binding protein;7032
Putative transport protein;14317
Trehalose monomycolate exporter MmpL3;18438
tRNA (guanine-N(7)-)-methyltransferase;7059
Phosphoenolpyruvate carboxykinase [GTP];7054
Trifunctional NAD biosynthesis/regulator protein NadR;7075
(2S)-methylsuccinyl-CoA dehydrogenase;6491
Beta-methylmalyl-CoA dehydratase;7051
Acetyl esterase;21918
Putative diacyglycerol O-acyltransferase;73005
Carnitinyl-CoA dehydratase;35035
Geranial dehydrogenase;7053
putative methyltransferase;14122
D-inositol-3-phosphate glycosyltransferase;7058
Porin PorA;6862
Ribonuclease VapC51;14104
Putative antitoxin VapB51;7040
Phosphotriesterase homology protein;7053
R2-like ligand binding oxidase;6257
Succinate-semialdehyde dehydrogenase [NADP(+)] 1;6839
Alpha-(1->3)-arabinofuranosyltransferase;14184
Putative secreted protein.1;7047
Beta-hexosaminidase LpqI;7063
Ribonuclease VapC24;7056
3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase;29627
3-ketoacyl-CoA thiolase FadI;7055
Butyryl-CoA dehydrogenase;7087
Flavin reductase;14078
Fumarate reductase iron-sulfur subunit;13702
Succinate dehydrogenase flavoprotein subunit;14093
Nitrite reductase [NAD(P)H];7054
Nitrite reductase (NADH) small subunit;7046
Bifunctional adenosylcobalamin biosynthesis protein CobU;6831
Cobyric acid synthase;7086
putative PPE family protein PPE2;6943
Nitrate/nitrite transporter NarK;21139
Aminoglycoside 2'-N-acetyltransferase;7053
5-oxoprolinase subunit C;7043
5-oxoprolinase subunit B;7044
Long-chain-fatty-acid--CoA ligase;28158
Acyl-CoA dehydrogenase FadE34;21132
Ribonuclease VapC25;6999
putative PPE family protein PPE3;7087
ESX-3 secretion system protein EccA3;7057
ESX-3 secretion system ATPase EccB3;14024
ESX-3 secretion system protein EccC3;7258
PE family immunomodulator PE5;13844
PPE family protein PPE4;13313
ESAT-6-like protein EsxG;7050
ESAT-6-like protein EsxH;7055
ESX-3 secretion-associated protein EspG3;7054
ESX-3 secretion system protein EccD3;7141
Mycosin-3;7037
ESX-3 secretion system protein EccE3;7052
putative trans-aconitate 2-methyltransferase;7025
Trehalose 2-sulfotransferase;7061
Ulvan-active sulfatase;5747
PE-PGRS family protein PE_PGRS5;5531
Antitoxin;20032
Toxin;20713
Antitoxin VapB2;7060
Ribonuclease VapC2;7071
5,6-dimethylbenzimidazole synthase;7049
Bile acid 7-alpha dehydratase;7052
Chaperone protein DnaK;20080
Glycerophosphodiester phosphodiesterase, cytoplasmic;7043
tRNA-Gly(ccc);7060
Pyrrolidone-carboxylate peptidase;7058
dCTP deaminase, dUMP-forming;7059
UDP-glucose 6-dehydrogenase;7044
1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase;14086
Putative cytochrome P450 135A1;7057
HTH-type transcriptional regulator BetI;21175
Glucose-1-phosphate thymidylyltransferase;7060
putative aspartate aminotransferase;7055
Isoniazid-induced protein IniB;7024
Isoniazid-induced protein IniA;7063
Isoniazid-induced protein IniC;7046
L-asparagine permease 2;7104
Protein GrpE;7061
Chaperone protein DnaJ 1;7062
Putative heat shock protein HspR;7033
Adenylosuccinate synthetase;7063
Putative zinc metalloprotease Rip2;7060
Magnesium transporter MgtE;7063
Fructose-bisphosphate aldolase;7062
putative membrane protein;77401
Purine catabolism protein PucB;7028
Carbon monoxide dehydrogenase large chain;7077
Carbon monoxide dehydrogenase small chain;7052
Carbon monoxide dehydrogenase medium chain;7041
Calcium dodecin;6888
tRNA (guanosine(18)-2'-O)-methyltransferase;6946
Orotate phosphoribosyltransferase;13439
Chaperone protein ClpB;7052
Flavohemoprotein;20985
Putative HTH-type transcriptional regulator;30803
putative PPE family protein PPE32;13671
Formate-dependent phosphoribosylglycinamide formyltransferase;7101
O-succinylhomoserine sulfhydrylase;7063
Nitric oxide reductase FlRd-NAD(+) reductase;6771
D-aminopeptidase;21258
Acyl-CoA dehydrogenase;49893
putative transport protein MmpL1;7550
IS3 family transposase IS987;95897
Long-chain-fatty-acid--AMP ligase FadD30;8341
Hydroxyacylglutathione hydrolase;28066
F420-dependent glucose-6-phosphate dehydrogenase;14172
Phosphate acetyltransferase;7063
Acetate kinase;7060
Serine/threonine-protein kinase PknG;7062
Putative 8-oxo-dGTP diphosphatase 3;7040
Thiamine-phosphate synthase;6967
Glycine oxidase;7031
Thiazole synthase;7045
putative lipoprotein aminopeptidase LpqL;7068
Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase;7055
Phosphomethylpyrimidine synthase;7069
Exodeoxyribonuclease III;7053
Peptide deformylase;7053
Superoxide dismutase [Cu-Zn];7056
Putative glutamate--cysteine ligase 2;7059
ATP-dependent zinc metalloprotease FtsH;14102
Phosphatidylserine decarboxylase proenzyme;7054
Molybdopterin molybdenumtransferase 2;7055
60 kDa chaperonin 2;7062
putative PPE family protein PPE10;7074
Anti-sigma-K factor RskA;6890
ECF RNA polymerase sigma factor SigK;7061
Tuberculostearic acid methyltransferase UfaA1;7074
Siderophore exporter MmpL4;7544
Siderophore export accessory protein MmpS4;13467
putative PPE family protein PPE20;13768
Putative enoyl-CoA hydratase EchA13;21139
putative aldehyde dehydrogenase;7069
Dihydrolipoyl dehydrogenase;14113
HTH-type transcriptional regulator RamB;7060
Isocitrate lyase;7055
3-hydroxybutyryl-CoA dehydrogenase;7061
S-adenosylmethionine-dependent methyltransferase UmaA;7088
Cyclopropane mycolic acid synthase 3;7062
Heparin-binding hemagglutinin;7038
Deoxyribose-phosphate aldolase;7063
Hydrolase;7054
UDP-N-acetylenolpyruvoylglucosamine reductase;7060
L,D-transpeptidase 5;7059
putative oxidoreductase;127382
Transcriptional regulator;14099
D-inositol 3-phosphate glycosyltransferase;7060
Arginine exporter protein ArgO;14065
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase;7057
Sensor-like histidine kinase senX3;7018
Sensory transduction protein regX3;7058
putative GMC-type oxidoreductase;14248
Exopolyphosphatase 1;7062
Pyrroline-5-carboxylate reductase;7035
Putative DNA-binding proteinA;7050
Cyclopropane mycolic acid synthase 2;7065
Phosphoserine phosphatase SerB1;7169
putative transport accessory protein MmpS2;7057
putative transport protein MmpL2;13649
Glutamyl-tRNA reductase;7065
Porphobilinogen deaminase;7061
Siroheme synthase;14183
Delta-aminolevulinic acid dehydratase;7059
GDSL lipase;7060
Sarcosine/dimethylglycine N-methyltransferase;7060
GABA permease;7045
Glutamate-1-semialdehyde 2,1-aminomutase;7062
Thiol-disulfide oxidoreductase ResA;21127
Cytochrome c biogenesis protein Ccs1;6907
Cytochrome c biogenesis protein CcsA;7058
3-oxoacyl-[acyl-carrier-protein] synthase 3;7022
1,4-dihydroxy-2-naphthoate octaprenyltransferase;7079
S-methyl-5'-thioadenosine phosphorylase;7063
dTDP-L-rhamnose 4-epimerase;7051
putative glycosyltransferase;27731
putative 2-succinylbenzoate--CoA ligase;7071
Fatty acyl-CoA reductase;7087
1,4-dihydroxy-2-naphthoyl-CoA synthase;7185
Ribonuclease VapC3;14094
Antitoxin VapB3;7054
N-substituted formamide deformylase;7067
o-succinylbenzoate synthase;7055
Putative non-heme bromoperoxidase BpoC;21148
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase;7068
GDP-mannose-dependent alpha-mannosyltransferase;7050
Demethylmenaquinone methyltransferase;7060
Menaquinone reductase;7064
Heptaprenyl diphosphate synthase component 2;14087
Protease HtpX;13875
putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+];7060
FAD-containing monooxygenase EthA;21454
tRNA-Tyr(gta);7066
N,N-dimethyltransferase OxyT;7083
Putative cytochrome P450 135B1;7053
Vitamin B12-dependent ribonucleoside-diphosphate reductase;7037
Putative phosphoribosyl transferase;6973
Nicotinate phosphoribosyltransferase pncB2;7020
putative polyglutamine synthesis accessory protein;7044
Putative glyoxylase CFP32;14287
Antitoxin VapB26;7033
Ribonuclease VapC26;7044
HTH-type transcriptional regulator Mce2R;7060
Ribonuclease VapC4;7063
Antitoxin VapB4;7056
Ribonuclease VapC27;7052
Antitoxin VapB27;7052
Sensor histidine kinase component HK1;7034
Sensor histidine kinase component HK2;6950
Transcriptional regulatory protein TcrA;7059
IS607 family transposase IS1536;7055
Antitoxin VapB28;7056
Ribonuclease VapC28;7038
putative proteinB;7052
Putative antitoxin VapB29;7057
Ribonuclease VapC29;7055
Galactose-1-phosphate uridylyltransferase;6497
Galactokinase;7003
Antitoxin VapB30;13545
Ribonuclease VapC30;14094
TVP38/TMEM64 family membrane protein;7020
Putative antitoxin VapB5;7080
Ribonuclease VapC5;14100
RecBCD enzyme subunit RecD;7161
RecBCD enzyme subunit RecB;7272
RecBCD enzyme subunit RecC;6833
putative polyketide biosynthesis zinc-dependent hydrolase BaeB;7052
tRNA-Thr(ggt);14111
tRNA-Met(cat);21178
50S ribosomal protein L33 2;14085
tRNA-Trp(cca);7070
Protein translocase subunit SecE;7058
Transcription termination/antitermination protein NusG;6906
50S ribosomal protein L11;7053
50S ribosomal protein L1;6963
Hydroxymycolate synthase MmaA4;6973
Methoxy mycolic acid synthase MmaA3;7047
Cyclopropane mycolic acid synthase MmaA2;7039
Mycolic acid methyltransferase MmaA1;7057
Aclacinomycin methylesterase RdmC;7043
N-acetylmannosamine kinase;6645
50S ribosomal protein L10;7054
50S ribosomal protein L7/L12;7054
Carotenoid cleavage oxygenase;14398
putative ribonucleotide transport ATP-binding protein mkl;7061
putative endoribonuclease MazF2;7037
tRNA(fMet)-specific endonuclease VapC;7189
DNA-directed RNA polymerase subunit beta;7082
DNA-directed RNA polymerase subunit beta';6808
Putative amidase AmiD;13877
Neutral ceramidase;7071
putative endonuclease 4;8627
Putative acyl-CoA dehydrogenase AidB;7069
Siderophore exporter MmpL5;9790
Siderophore export accessory protein MmpS5;7088
HTH-type transcriptional regulator MmpR5;7151
30S ribosomal protein S12;7060
30S ribosomal protein S7;7058
Elongation factor G;7086
Elongation factor Tu;9183
putative NAD-dependent oxidoreductase;7057
Ferredoxin--NAD(P)(+) reductase fdr;7052
Putative mycofactocin biosynthesis transcriptional regulator MftR;7066
Putative mycofactocin radical SAM maturase MftC;7017
Putative mycofactocin system heme/flavin oxidoreductase MftD;7054
Putative mycofactocin system creatinine amidohydrolase family protein MftE;7057
Putative mycofactocin biosynthesis glycosyltransferase MftF;7062
Oxygen-dependent choline dehydrogenase;7054
30S ribosomal protein S10;7059
50S ribosomal protein L3;7060
50S ribosomal protein L4;7062
50S ribosomal protein L23;7054
50S ribosomal protein L2;7056
30S ribosomal protein S19;7059
50S ribosomal protein L22;7036
30S ribosomal protein S3;6957
50S ribosomal protein L16;7055
50S ribosomal protein L29;7048
30S ribosomal protein S17;7038
Formylglycine-generating enzyme;7054
50S ribosomal protein L14;7056
50S ribosomal protein L24;7058
50S ribosomal protein L5;7055
30S ribosomal protein S14 type Z;7054
30S ribosomal protein S8;7056
50S ribosomal protein L6;7060
50S ribosomal protein L18;7052
30S ribosomal protein S5;7057
50S ribosomal protein L30;7056
50S ribosomal protein L15;6747
5-deoxy-D-ribulose 1-phosphate aldolase;7037
Putative 2-hydroxyacid dehydrogenase YoaD;7053
Xylulose kinase;7034
Protein translocase subunit SecY;7060
Adenylate kinase;7049
Methionine aminopeptidase 1;7054
ECF RNA polymerase sigma factor SigL;7057
Anti-sigma-L factor RslA;7056
ISL3 family transposase IS1557;18890
putative 3-hydroxyisobutyrate dehydrogenase;14085
Antitoxin VapB31;6985
Ribonuclease VapC31;6982
Putative 3-oxopropanoate dehydrogenase;7059
PE-PGRS family protein PE_PGRS11;14040
putative PPE family protein PPE40;67170
tRNA-Thr(tgt);7070
putative transcriptional regulatory protein TcrX;21178
putative sensor histidine kinase TcrY;21084
putative HIT-like protein;7056
Lanosterol 14-alpha demethylase;7063
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase;7012
Putative cytochrome P450 123;8632
Putative aldehyde dehydrogenase;7098
Phosphoribosylamine--glycine ligase;7063
Glutathione hydrolase-like YwrD proenzyme;7055
Adenylosuccinate lyase;7053
Putative cytochrome P450 126;7161
Phosphoribosylaminoimidazole-succinocarboxamide synthase;7059
Dipeptidyl aminopeptidase BI;7178
Putative multidrug resistance protein MdtD;27336
KsdD-like steroid dehydrogenase;7064
Phosphoribosylformylglycinamidine synthase subunit PurS;7052
Phosphoribosylformylglycinamidine synthase subunit PurQ;7060
Soluble pyridine nucleotide transhydrogenase;186
IS110 family transposase IS1547;10993
Linocin-M18;7059
Dye-decolorizing peroxidase YfeX;7041
putative M18 family aminopeptidase 2;7061
Putative succinyl-CoA transferase;7058
Phosphoribosylformylglycinamidine synthase subunit PurL;7060
3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA;7060
Exopolysaccharide phosphotransferase CpsY;7070
Amidophosphoribosyltransferase;7063
Phosphoribosylformylglycinamidine cyclo-ligase;7056
Putative thiosulfate sulfurtransferase;12465
Mycothiol acetyltransferase;7065
Phosphate import ATP-binding protein PstB 1;7123
Phosphate-specific transport system accessory protein PhoU;14158
Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU;7025
putative tRNA-dihydrouridine synthase;7059
Putative acyl-[acyl-carrier-protein] desaturase DesA1;7062
HTH-type transcriptional regulator KmtR;7031
tRNA-specific adenosine deaminase;21096
tRNA-Lys(ttt);7070
tRNA-Glu(ttc);7076
tRNA-Asp(gtc);7072
tRNA-Phe(gaa);7065
PE-PGRS family protein PE_PGRS26;11253
tRNA-Ala(ggc);13211
D-alanyl-D-alanine dipeptidase;7057
Proline iminopeptidase;7069
Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha;7046
putative transcriptional regulatory protein NarL;7055
putative sensor histidine kinase NarS;7068
Multicopper oxidase MmcO;7081
Lipoprotein LpqS;7007
S-sulfocysteine synthase;7105
Multidrug resistance protein MdtH;7075
1-deoxy-11-beta-hydroxypentalenate dehydrogenase;6875
Alpha-keto-acid decarboxylase;7054
Acetyl-CoA:oxalate CoA-transferase;14073
putative N-succinyldiaminopimelate aminotransferase DapC;7078
Putative acyltransferase;7076
Fatty acid oxidation complex subunit alpha;6945
Cyclic pyranopterin monophosphate synthase 2;7057
Molybdopterin adenylyltransferase;7064
Molybdopterin synthase catalytic subunit 2;7023
Resuscitation-promoting factor RpfA;6614
GTP 3',8-cyclase 2;7070
Inner membrane protein YccF;7056
putative acyl-CoA dehydrogenase FadE10;7085
23S rRNA (guanosine-2'-O-)-methyltransferase RlmB;7066
Phosphoserine aminotransferase;7058
putative ferredoxin/ferredoxin--NADP reductase;7053
Sphingomyelinase;8789
Putative citrate synthase 2;7061
putative monooxygenase;7079
Citrate synthase 1;6846
Peptidoglycan-binding protein ArfA;7061
putative membrane protein ArfB;7048
putative membrane protein ArfC;7054
Sensor-type histidine kinase PrrB;7056
Transcriptional regulatory protein PrrA;7057
Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta;7014
putative enoyl-CoA hydratase echA6;7056
Calcium-transporting ATPase CtpE;7070
putative PPE family protein PPE29;21067
Glycine betaine/proline betaine transporter BetS;7056
tRNA-Arg(cct);11485
IS256 family transposase IS1554;7061
IS607 family transposase IS1535;7055
Divalent metal cation transporter MntH;7064
8-demethyl-8-aminoriboflavin-5'-phosphate synthase;7045
2,4-diaminopentanoate dehydrogenase;14040
Phosphate-binding protein PstS 3;7053
Phosphate transport system permease protein PstC 2;7025
Phosphate transport system permease protein PstA 1;7059
Serine/threonine-protein kinase PknD;14752
Phosphate-binding protein PstS 2;6481
Phosphate import ATP-binding protein PstB 2;7166
Phosphate-binding protein PstS 1;6839
Phosphate transport system permease protein PstC 1;7064
Phosphate transport system permease protein PstA 2;7192
Non-homologous end joining protein Ku;7059
Multifunctional non-homologous end joining DNA repair protein LigD;7086
putative formamidopyrimidine-DNA glycosylase-like protein;7049
Glucose-6-phosphate isomerase;7059
Intracellular chorismate mutase;7058
ATP-dependent DNA helicase UvrD1;7084
Succinate--CoA ligase [ADP-forming] subunit beta;7067
Succinate--CoA ligase [ADP-forming] subunit alpha;7016
34 kDa antigenic protein;7049
Phosphoribosylglycinamide formyltransferase;7057
Bifunctional purine biosynthesis protein PurH;7083
Copper-sensing transcriptional repressor CsoR;14095
putative copper-exporting P-type ATPase V;7078
putative enoyl-CoA hydratase;6962
Acyl-CoA dehydrogenase fadE12;7068
Acetyl-/propionyl-coenzyme A carboxylase alpha chain;14243
putative propionyl-CoA carboxylase beta chain 5;21141
PE-PGRS family protein PE_PGRS16;15925
PE-PGRS family protein PE_PGRS17;10247
50S ribosomal protein L32;6801
PE-PGRS family protein PE_PGRS18;6975
Response regulator MprA;7066
Signal transduction histidine-protein kinase/phosphatase MprB;7074
Molybdenum cofactor biosynthesis protein B;7042
Large-conductance mechanosensitive channel;7062
5-formyltetrahydrofolate cyclo-ligase;7053
UTP--glucose-1-phosphate uridylyltransferase;14113
Molybdopterin molybdenumtransferase 1;7061
[Ribosomal protein S5]-alanine N-acetyltransferase;7050
tRNA-Ala(cgc);7059
Acetyltransferase Pat;7071
Arginine deiminase;7064
putative dolichyl-phosphate-mannose--protein mannosyltransferase;7066
Ribosomal RNA small subunit methyltransferase I;7018
Isochorismate synthase MenF;6947
Methionine--tRNA ligase;7060
putative metal-dependent hydrolase TatD;7060
Resuscitation-promoting factor RpfB;7077
Ribosomal RNA small subunit methyltransferase A;7096
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase;7057
Putative ligase;7061
Peptidyl-tRNA hydrolase;7050
50S ribosomal protein L25;7056
Putative lipoprotein LpqT;6889
Ribose-phosphate pyrophosphokinase;7059
Bifunctional protein GlmU;7068
tRNA-Gln(ttg);7064
Transcription-repair-coupling factor;7085
Nucleoside triphosphate pyrophosphohydrolase;7057
Enolase;7070
Exopolyphosphatase 2;7075
Transcriptional regulatory protein KdpE;6821
Sensor protein KdpD;7124
Potassium-transporting ATPase potassium-binding subunit;7091
Potassium-transporting ATPase ATP-binding subunit;7266
Potassium-transporting ATPase KdpC subunit;7061
ISNCY family transposase ISRjo3;21061
ESAT-6-like protein EsxV;6177
ESAT-6-like protein EsxJ;14508
PPE family protein PPE15;21195
IS5 family transposase ISMt1;14140
IS256 family transposase IS1081;27577
tRNA-Leu(taa);7062
3-methylmercaptopropionyl-CoA ligase;6866
Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase;14105
putative NTE family protein;14410
putative enoyl-CoA hydratase echA8;21133
3-ketoacyl-CoA thiolase;20506
GDSL-like esterase;7057
Putative cystathionine beta-synthase;7053
Proline-rich antigen;7052
Cystathionine gamma-synthase;6999
Transcription elongation factor GreA;6989
Mycothiol S-conjugate amidase;7061
(2Z,6E)-farnesyl diphosphate synthase;7059
Pantothenate kinase;7036
Serine hydroxymethyltransferase 1;7061
Putative acyl-[acyl-carrier-protein] desaturase DesA2;7049
Fumarate hydratase class II;7062
Fructose-1,6-bisphosphatase class 2;7059
Endoribonuclease MazF3;7056
Antitoxin MazE3;7057
Para-nitrobenzyl esterase;21052
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase;7051
Exodeoxyribonuclease 7 small subunit;7057
Exodeoxyribonuclease 7 large subunit;7065
4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2;7060
Ribosome-binding ATPase YchF;7061
Antitoxin VapB32;7049
Ribonuclease VapC32;7051
Glucose-6-phosphate 1-dehydrogenase 1;7058
6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating;7059
Putative aminoacrylate hydrolase RutD;14067
Epoxide hydrolase A;20901
Pyruvate, phosphate dikinase;7053
HTH-type transcriptional regulator PrpR;7051
2-methylcitrate dehydratase;7062
2-methylcitrate synthase;7058
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase;7084
1,2-epoxyphenylacetyl-CoA isomerase;14096
NAD-dependent protein deacylase;7057
F420H(2)-dependent reductase;7054
Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase;7061
Putative pterin-4-alpha-carbinolamine dehydratase;19917
Putative 8-oxo-dGTP diphosphatase 2;7056
Nitrate reductase alpha subunit;7095
Respiratory nitrate reductase 2 beta chain;7048
Nitrate reductase-like protein NarX;14214
GTP-binding protein TypA/BipA;7060
putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW;7058
putative PPE family protein PPE17;7380
Triacylglycerol lipase;21157
FO synthase;7055
2,4-dienoyl-CoA reductase;7151
Ferredoxin;14109
Glutamate-pyruvate aminotransferase AlaC;7050
Mycolipanoate synthase;7110
Acyltransferase papA3;7065
Acyltrehalose exporter MmpL10;7090
Diacyltrehalose acyltransferase Chp2;7060
Putative fatty-acid--CoA ligase FadD21;7079
1-pyrroline-5-carboxylate dehydrogenase 1;7042
Proline dehydrogenase 1;6909
putative ECF RNA polymerase sigma factor SigI;7027
Haloalkane dehalogenase 2;20570
PE family protein PE13;34409
PPE family protein PPE18;19761
ESAT-6-like protein EsxP;3170
ESAT-6-like protein EsxL;9554
Inner membrane metabolite transport protein YhjE;6779
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase;7055
Putative succinyl-diaminopimelate desuccinylase DapE;7051
Cytokinin riboside 5'-monophosphate phosphoribohydrolase;7055
Inactive dihydropteroate synthase 2;7060
Glucosyl-3-phosphoglycerate synthase;7058
DNA-3-methyladenine glycosylase 1;7057
Alpha-maltose-1-phosphate synthase;7065
Glucose-1-phosphate adenylyltransferase;7083
Cocaine esterase;13910
Multidrug efflux system permease protein;7070
Multidrug efflux system ATP-binding protein;7068
HTH-type transcriptional regulatory protein RaaS;7056
Putative O-methyltransferase;7029
ECF RNA polymerase sigma factor SigE;7056
Anti-sigma-E factor RseA;6986
Sec-independent protein translocase protein TatB;7053
Dihydroxyacetone phosphatase;5264
Iron-sulfur cluster carrier protein;7064
Trehalose-binding lipoprotein LpqY;7061
Trehalose transport system permease protein SugA;7063
Trehalose transport system permease protein SugB;7058
Trehalose import ATP-binding protein SugC;7060
Cobalt/magnesium transport protein CorA;7055
Malate dehydrogenase;7057
Antitoxin VapB33;7057
Ribonuclease VapC33;7043
Putative oxidoreductase SadH;21154
Toxin RelE;7056
Antitoxin RelB;7058
Multifunctional 2-oxoglutarate metabolism enzyme;7063
Multidrug resistance protein 3;6910
Putative lipoprotein LprE;7128
ATP-dependent RNA helicase DeaD;14114
Cytochrome P450 130;6820
putative FAD-linked oxidoreductase;21082
Multidrug efflux pump Tap;8642
Type-5 uracil-DNA glycosylase;6986
F420H(2)-dependent quinone reductase;14093
Putative amidase AmiB2;7044
pH-sensitive adenylate cyclase;7071
Serine/threonine-protein kinase PknH;7135
Transcriptional regulatory protein EmbR;11661
Protein;19729
Lipoprotein LprA;7068
Fatty acid ABC transporter ATP-binding/permease protein;7090
Putative lipoprotein LprB;7047
Putative peptide transport permease protein;14125
Beta-carbonic anhydrase 1;7058
Sulfate adenylyltransferase subunit 2;7061
Bifunctional enzyme CysN/CysC;7063
tRNA-Arg(ccg);14111
Arginine--tRNA ligase;7061
Diaminopimelate decarboxylase;7061
Homoserine dehydrogenase;7059
Threonine synthase;7028
Homoserine kinase;7037
Transcription termination factor Rho;7067
50S ribosomal protein L31;7056
Peptide chain release factor 1;7060
Release factor glutamine methyltransferase;7040
Putative threonylcarbamoyl-AMP synthase;7055
Decaprenyl-phosphate N-acetylglucosaminephosphotransferase;7060
